numero_partido,votos_legenda,nome_partido,sigla_partido
27,9,Democracia Cristã,DC
15,249,Movimento Democrático Brasileiro,MDB
40,171,Partido Socialista Brasileiro,PSB
14,37,Partido Trabalhista Brasileiro,PTB
51,22,Patriota,PATRIOTA
33,12,Partido da Mobilização Nacional,PMN
35,1,Partido da Mulher Brasileira,PMB
17,211,Partido Social Liberal,PSL
55,26,Partido Social Democrático,PSD
10,14,REPUBLICANOS,REPUBLICANOS
19,35,Podemos,PODE
18,31,Rede Sustentabilidade,REDE
65,10,Partido Comunista do Brasil,PC do B
12,73,Partido Democrático Trabalhista,PDT
