numero_partido,votos_legenda,nome_partido,sigla_partido
27,34,Democracia Cristã,DC
23,542,Cidadania,CIDADANIA
11,77,PROGRESSISTAS,PP
25,64,Democratas,DEM
12,167,Partido Democrático Trabalhista,PDT
65,18,Partido Comunista do Brasil,PC do B
28,217,Partido Renovador Trabalhista Brasileiro,PRTB
55,417,Partido Social Democrático,PSD
17,49,Partido Social Liberal,PSL
36,38,Partido Trabalhista Cristão,PTC
45,19,Partido da Social Democracia Brasileira,PSDB
33,34,Partido da Mobilização Nacional,PMN
40,34,Partido Socialista Brasileiro,PSB
13,79,Partido dos Trabalhadores,PT
10,91,REPUBLICANOS,REPUBLICANOS
19,28,Podemos,PODE
51,5,Patriota,PATRIOTA
18,33,Rede Sustentabilidade,REDE
77,134,Solidariedade,SOLIDARIEDADE
