numero_partido,votos_legenda,nome_partido,sigla_partido
70,12,AVANTE,AVANTE
15,49,Movimento Democrático Brasileiro,MDB
12,236,Partido Democrático Trabalhista,PDT
65,40,Partido Comunista do Brasil,PC do B
55,43,Partido Social Democrático,PSD
20,22,Partido Social Cristão,PSC
45,20,Partido da Social Democracia Brasileira,PSDB
33,43,Partido da Mobilização Nacional,PMN
40,55,Partido Socialista Brasileiro,PSB
10,34,REPUBLICANOS,REPUBLICANOS
51,11,Patriota,PATRIOTA
18,4,Rede Sustentabilidade,REDE
77,264,Solidariedade,SOLIDARIEDADE
