numero_partido,votos_legenda,nome_partido,sigla_partido
27,8,Democracia Cristã,DC
15,63,Movimento Democrático Brasileiro,MDB
11,181,PROGRESSISTAS,PP
25,717,Democratas,DEM
12,241,Partido Democrático Trabalhista,PDT
90,40,Partido Republicano da Ordem Social,PROS
22,395,Partido Liberal,PL
28,8,Partido Renovador Trabalhista Brasileiro,PRTB
55,214,Partido Social Democrático,PSD
20,52,Partido Social Cristão,PSC
50,30,Partido Socialismo e Liberdade,PSOL
14,119,Partido Trabalhista Brasileiro,PTB
43,164,Partido Verde,PV
45,216,Partido da Social Democracia Brasileira,PSDB
33,37,Partido da Mobilização Nacional,PMN
40,2185,Partido Socialista Brasileiro,PSB
13,219,Partido dos Trabalhadores,PT
10,131,REPUBLICANOS,REPUBLICANOS
19,98,Podemos,PODE
51,52,Patriota,PATRIOTA
