numero_partido,votos_legenda,nome_partido,sigla_partido
20,900,Partido Social Cristão,PSC
50,49,Partido Socialismo e Liberdade,PSOL
27,75,Democracia Cristã,DC
70,40,AVANTE,AVANTE
23,378,Cidadania,CIDADANIA
25,48,Democratas,DEM
15,78,Movimento Democrático Brasileiro,MDB
11,103,PROGRESSISTAS,PP
12,144,Partido Democrático Trabalhista,PDT
22,197,Partido Liberal,PL
33,53,Partido da Mobilização Nacional,PMN
40,88,Partido Socialista Brasileiro,PSB
14,28,Partido Trabalhista Brasileiro,PTB
45,34,Partido da Social Democracia Brasileira,PSDB
10,53,REPUBLICANOS,REPUBLICANOS
19,41,Podemos,PODE
13,170,Partido dos Trabalhadores,PT
51,571,Patriota,PATRIOTA
77,88,Solidariedade,SOLIDARIEDADE
