numero_partido,votos_legenda,nome_partido,sigla_partido
13,96,Partido dos Trabalhadores,PT
19,216,Podemos,PODE
18,131,Rede Sustentabilidade,REDE
10,62,REPUBLICANOS,REPUBLICANOS
23,61,Cidadania,CIDADANIA
27,536,Democracia Cristã,DC
70,8,AVANTE,AVANTE
15,1633,Movimento Democrático Brasileiro,MDB
55,29,Partido Social Democrático,PSD
20,77,Partido Social Cristão,PSC
50,28,Partido Socialismo e Liberdade,PSOL
17,45,Partido Social Liberal,PSL
40,76,Partido Socialista Brasileiro,PSB
14,96,Partido Trabalhista Brasileiro,PTB
45,118,Partido da Social Democracia Brasileira,PSDB
43,365,Partido Verde,PV
12,171,Partido Democrático Trabalhista,PDT
