numero_partido,votos_legenda,nome_partido,sigla_partido
27,16,Democracia Cristã,DC
25,46,Democratas,DEM
23,44,Cidadania,CIDADANIA
15,277,Movimento Democrático Brasileiro,MDB
40,366,Partido Socialista Brasileiro,PSB
45,32,Partido da Social Democracia Brasileira,PSDB
13,71,Partido dos Trabalhadores,PT
17,23,Partido Social Liberal,PSL
55,18,Partido Social Democrático,PSD
77,34,Solidariedade,SOLIDARIEDADE
10,49,REPUBLICANOS,REPUBLICANOS
19,37,Podemos,PODE
18,14,Rede Sustentabilidade,REDE
12,442,Partido Democrático Trabalhista,PDT
