numero_partido,votos_legenda,nome_partido,sigla_partido
70,19,AVANTE,AVANTE
23,247,Cidadania,CIDADANIA
22,21,Partido Liberal,PL
65,4,Partido Comunista do Brasil,PC do B
12,51,Partido Democrático Trabalhista,PDT
28,8,Partido Renovador Trabalhista Brasileiro,PRTB
40,18,Partido Socialista Brasileiro,PSB
55,25,Partido Social Democrático,PSD
33,30,Partido da Mobilização Nacional,PMN
35,3,Partido da Mulher Brasileira,PMB
14,173,Partido Trabalhista Brasileiro,PTB
45,16,Partido da Social Democracia Brasileira,PSDB
10,4,REPUBLICANOS,REPUBLICANOS
13,12,Partido dos Trabalhadores,PT
