numero_partido,votos_legenda,nome_partido,sigla_partido
33,14,Partido da Mobilização Nacional,PMN
14,12,Partido Trabalhista Brasileiro,PTB
43,4,Partido Verde,PV
40,34,Partido Socialista Brasileiro,PSB
55,11,Partido Social Democrático,PSD
20,2,Partido Social Cristão,PSC
17,9,Partido Social Liberal,PSL
23,83,Cidadania,CIDADANIA
19,3,Podemos,PODE
10,7,REPUBLICANOS,REPUBLICANOS
77,11,Solidariedade,SOLIDARIEDADE
25,9,Democratas,DEM
11,12,PROGRESSISTAS,PP
35,7,Partido da Mulher Brasileira,PMB
45,116,Partido da Social Democracia Brasileira,PSDB
51,97,Patriota,PATRIOTA
12,16,Partido Democrático Trabalhista,PDT
22,9,Partido Liberal,PL
65,0,Partido Comunista do Brasil,PC do B
