numero_partido,votos_legenda,nome_partido,sigla_partido
27,62,Democracia Cristã,DC
23,121,Cidadania,CIDADANIA
15,266,Movimento Democrático Brasileiro,MDB
11,402,PROGRESSISTAS,PP
25,162,Democratas,DEM
12,4528,Partido Democrático Trabalhista,PDT
90,105,Partido Republicano da Ordem Social,PROS
22,479,Partido Liberal,PL
65,59,Partido Comunista do Brasil,PC do B
28,79,Partido Renovador Trabalhista Brasileiro,PRTB
55,55,Partido Social Democrático,PSD
20,197,Partido Social Cristão,PSC
17,63,Partido Social Liberal,PSL
50,163,Partido Socialismo e Liberdade,PSOL
14,120,Partido Trabalhista Brasileiro,PTB
36,82,Partido Trabalhista Cristão,PTC
35,77,Partido da Mulher Brasileira,PMB
43,53,Partido Verde,PV
45,1056,Partido da Social Democracia Brasileira,PSDB
33,117,Partido da Mobilização Nacional,PMN
40,424,Partido Socialista Brasileiro,PSB
13,411,Partido dos Trabalhadores,PT
19,193,Podemos,PODE
51,198,Patriota,PATRIOTA
10,159,REPUBLICANOS,REPUBLICANOS
18,1288,Rede Sustentabilidade,REDE
77,73,Solidariedade,SOLIDARIEDADE
