numero_partido,votos_legenda,nome_partido,sigla_partido
40,166,Partido Socialista Brasileiro,PSB
14,18,Partido Trabalhista Brasileiro,PTB
19,16,Podemos,PODE
33,19,Partido da Mobilização Nacional,PMN
13,13,Partido dos Trabalhadores,PT
45,14,Partido da Social Democracia Brasileira,PSDB
25,18,Democratas,DEM
11,31,PROGRESSISTAS,PP
70,8,AVANTE,AVANTE
23,85,Cidadania,CIDADANIA
27,32,Democracia Cristã,DC
55,29,Partido Social Democrático,PSD
50,18,Partido Socialismo e Liberdade,PSOL
17,225,Partido Social Liberal,PSL
12,35,Partido Democrático Trabalhista,PDT
65,8,Partido Comunista do Brasil,PC do B
