numero_partido,votos_legenda,nome_partido,sigla_partido
17,152,Partido Social Liberal,PSL
55,27,Partido Social Democrático,PSD
43,23,Partido Verde,PV
40,61,Partido Socialista Brasileiro,PSB
35,7,Partido da Mulher Brasileira,PMB
13,175,Partido dos Trabalhadores,PT
45,1088,Partido da Social Democracia Brasileira,PSDB
51,41,Patriota,PATRIOTA
19,654,Podemos,PODE
18,46,Rede Sustentabilidade,REDE
10,48,REPUBLICANOS,REPUBLICANOS
77,345,Solidariedade,SOLIDARIEDADE
23,66,Cidadania,CIDADANIA
11,99,PROGRESSISTAS,PP
25,51,Democratas,DEM
12,105,Partido Democrático Trabalhista,PDT
28,57,Partido Renovador Trabalhista Brasileiro,PRTB
65,3,Partido Comunista do Brasil,PC do B
90,33,Partido Republicano da Ordem Social,PROS
