numero_partido,votos_legenda,nome_partido,sigla_partido
10,35,REPUBLICANOS,REPUBLICANOS
19,783,Podemos,PODE
55,41,Partido Social Democrático,PSD
20,20,Partido Social Cristão,PSC
17,69,Partido Social Liberal,PSL
90,14,Partido Republicano da Ordem Social,PROS
12,105,Partido Democrático Trabalhista,PDT
11,246,PROGRESSISTAS,PP
13,72,Partido dos Trabalhadores,PT
45,38,Partido da Social Democracia Brasileira,PSDB
14,31,Partido Trabalhista Brasileiro,PTB
43,21,Partido Verde,PV
40,51,Partido Socialista Brasileiro,PSB
15,137,Movimento Democrático Brasileiro,MDB
70,32,AVANTE,AVANTE
25,21,Democratas,DEM
