numero_partido,votos_legenda,nome_partido,sigla_partido
12,307,Partido Democrático Trabalhista,PDT
65,40,Partido Comunista do Brasil,PC do B
14,146,Partido Trabalhista Brasileiro,PTB
36,133,Partido Trabalhista Cristão,PTC
50,550,Partido Socialismo e Liberdade,PSOL
43,127,Partido Verde,PV
40,175,Partido Socialista Brasileiro,PSB
18,233,Rede Sustentabilidade,REDE
10,362,REPUBLICANOS,REPUBLICANOS
77,74,Solidariedade,SOLIDARIEDADE
19,1661,Podemos,PODE
11,270,PROGRESSISTAS,PP
15,179,Movimento Democrático Brasileiro,MDB
25,206,Democratas,DEM
23,111,Cidadania,CIDADANIA
27,69,Democracia Cristã,DC
70,40,AVANTE,AVANTE
45,1951,Partido da Social Democracia Brasileira,PSDB
13,536,Partido dos Trabalhadores,PT
51,129,Patriota,PATRIOTA
30,473,Partido Novo,NOVO
20,145,Partido Social Cristão,PSC
28,0,,
55,1513,Partido Social Democrático,PSD
17,482,Partido Social Liberal,PSL
90,32,Partido Republicano da Ordem Social,PROS
